GEO_ID,Geographic_Area_Name,Households,Median_Income_Household,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Percent_Other_Race,Median_Income_Other_Race,Percent_Hispanic_or_Latino,Median_Income_Hispanic_or_Latino,Percent_15_to_24,Median_Income_15_to_24,Percent_25_to_44,Median_Income_25_to_44,Percent_45_to_64,Median_Income_45_to_64,Percent_65_and_over,Median_Income_65_and_Over,Families,Median_Income_Family,Percent_Family_With_Children,Median_Income_Family_with_Children,Percent_Family_no_Children,Median_Income_Family_no_Children,Percent_Married_Couple_Family,Median_Income_Married_Couple_Family,Percent_Female_Householder_no_Spouse,Median_Income_Female_Householder_no_Spouse,Percent_Male_Householder_no_Spouse,Median_Income_Male_Householder_no_Spouse,Nonfamily_Households,Median_Income_Nonfamily_Households,Percent_Nonfamily_Lone_Female,Median_Income_Nonfamily_Lone_Female,Percent_Nonfamily_Lone_Male,Median_Income_Nonfamily_Lone_Male
53061051922,"Census Tract 519.22, Snohomish County, Washington",1846,140278,118417,-,-,144327,-,0.7,-,13.1,216953,2.9,26288,47,156548,35.5,157500,14.5,60957,1377,141875,700,140278,677,142724,1155,143631,166,-,56,59545,469,118750,146,60417,78,-
53061051926,"Census Tract 519.26, Snohomish County, Washington",1902,146786,127667,-,-,183417,-,0.5,-,3,158750,1.8,-,38.8,192857,40,156019,19.5,64375,1632,157269,917,177917,715,117574,1457,166689,142,111500,33,70795,270,61806,133,22106,80,150174
53061051927,"Census Tract 519.27, Snohomish County, Washington",1789,130130,128523,-,-,157891,-,0,-,4.1,119402,0.5,-,29.7,160313,49.2,131797,20.6,93056,1510,135588,600,150400,910,131979,1315,143750,114,63141,81,151650,279,75469,73,67656,107,51550
53061051928,"Census Tract 519.28, Snohomish County, Washington",2164,78095,84597,-,-,54702,-,5.2,-,9,64375,5.8,31731,49.4,76250,34.6,93366,10.2,47462,1237,84879,540,59881,697,93750,963,92820,211,58274,63,72411,927,63341,179,-,384,65507
53061051929,"Census Tract 519.29, Snohomish County, Washington",1510,88500,87639,163704,-,104333,-,4.7,-,6.4,-,2.4,21731,41,89139,41.9,90813,14.8,66850,1144,97738,495,83977,649,135656,629,144803,307,56123,208,91813,366,46250,85,-,153,"2,500-"
53061051930,"Census Tract 519.30, Snohomish County, Washington",1673,97873,94792,-,-,119333,-,10.2,-,17.6,80648,4.7,-,31.3,98547,43.3,117583,20.7,72708,1230,98333,468,83400,762,102422,904,101250,206,95750,120,88319,443,77431,157,-,184,87875
53061051931,"Census Tract 519.31, Snohomish County, Washington",1229,140120,133365,-,-,141151,-,2.1,-,3.1,-,0,-,52.3,141592,31.2,125732,16.4,126810,1043,140463,573,141035,470,126964,893,137039,142,141204,8,-,186,-,42,-,52,-
53061051932,"Census Tract 519.32, Snohomish County, Washington",1500,104545,119293,-,-,145391,-,0,-,4.5,-,0,-,29.7,145240,59.3,91939,10.9,97500,912,141786,357,133015,555,145464,790,146290,75,-,47,-,588,54142,47,11750,358,53515
53061051933,"Census Tract 519.33, Snohomish County, Washington",1510,120731,120748,-,-,-,-,1.8,-,2.6,-,2.1,-,63.2,122157,34.8,100614,0,-,1190,139032,771,144345,419,113886,896,143929,169,33301,125,-,320,79643,143,73506,23,-
53061051934,"Census Tract 519.34, Snohomish County, Washington",1276,106131,96827,-,-,158750,-,0,-,5.6,165625,0,-,35.7,134118,50.3,96250,13.9,90375,1031,126042,601,130795,430,110682,749,132721,151,121083,131,-,245,70729,159,55875,77,91641
53061051935,"Census Tract 519.35, Snohomish County, Washington",1128,102500,108450,-,-,85927,-,1.2,-,5.1,91940,1,-,35.8,130541,48.9,103462,14.3,51198,934,109000,485,124740,449,92361,721,124250,106,-,107,86331,194,75365,132,54444,27,-
